#prefecture,population,area
Aichi,7497521,5173.24
Akita,929937,11637.52
Aomori,1204372,9645.95
Chiba,6275278,5156.74
Ehime,1306165,5675.98
Fukui,752976,4190.58
Fukuoka,5117967,4987.64
Fukushima,1789221,13784.14
Gifu,1945350,10621.29
Gunma,1913236,6362.28
Hiroshima,2759702,8479
Hokkaido,5139522,78420.76
Hyogo,5403823,8400.94
Ibaraki,2841084,6097.54
Ishikawa,1117827,4186.23
Iwate,1180512,15275.01
Kagawa,933758,1876.91
Kagoshima,1562310,9186.33
Kanagawa,9232794,2416.32
Kochi,675710,7102.91
Kumamoto,1717766,7409.18
Kyoto,2550404,4612.2
Mie,1742703,5774.48
Miyagi,2279554,7282.29
Miyazaki,1051771,7734.24
Nagano,2020497,13561.56
Nagasaki,1282571,4130.99
Nara,1305981,3690.94
Niigata,2152664,12583.96
Oita,1106294,6340.7
Okayama,1862012,7114.77
Okinawa,1468634,2282.15
Osaka,8787414,1905.34
Saga,800511,2440.67
Saitama,7337173,3797.75
Shiga,1409388,4017.38
Shimane,657842,6707.86
Shizuoka,3582194,7777.02
Tochigi,1908380,6408.09
Tokushima,703745,4146.99
Tokyo,14040732,2194.05
Tottori,543615,3507.13
Toyama,1016323,4247.54
Wakayama,903172,4724.69
Yamagata,1040971,9323.15
Yamaguchi,1312950,6112.5
Yamanashi,801620,4465.27
